,Reps1,Reps2,Reps3,Reps4,Reps5,Reps6,Reps7,Reps8,Reps9,Reps10
0,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491,0.8960784313725491
1,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933,0.8963458110516933
2,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341,0.8959893048128341
3,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343,0.8959893048128343
4,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786,0.8962566844919786
5,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194
6,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639,0.8961675579322639
7,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453,0.8954545454545453
8,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194,0.8959001782531194
9,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896,0.8957219251336896
