,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.8451557093425606,0.8081978168857208,0.8440632657607485,0.8291378926264201,0.8175540209400757
1,0.8165008650519031,0.8364891958119849,0.8676765426598352,0.8562040543550903,0.8046335486745377
2,0.8585640138408305,0.8348184450879927,0.7999554466473602,0.8598797059478727,0.7676542659835152
3,0.8075259515570935,0.7874805079082202,0.7400311873468478,0.8654488750278458,0.7431499220316329
4,0.8348832179930796,0.8384940966807752,0.8574292715526843,0.8469592336823346,0.7927155268433949
5,0.8096885813148789,0.8198930719536647,0.8253508576520383,0.8090888839385164,0.761862330140343
6,0.8052551903114187,0.8478503007351303,0.8014034306081533,0.7890398752506125,0.7840276230786367
7,0.8695934256055364,0.7890398752506126,0.8476275339719314,0.8194475384272667,0.8088661171753174
8,0.7995242214532872,0.8538650033415014,0.7703274671419024,0.8088661171753174,0.7727779015370907
9,0.8051470588235294,0.7888171084874137,0.8001782134105592,0.7903764758298062,0.7636444642459346
