,Reps1,Reps2,Reps3,Reps4,Reps5
0,0.7261633011413522,0.7261633011413522,0.7261633011413522,0.7261633011413522,0.7261633011413522
1,0.6906935908691835,0.6906935908691835,0.6906935908691835,0.6906935908691835,0.6906935908691835
2,0.7025460930640913,0.7025460930640913,0.7025460930640913,0.7025460930640913,0.7025460930640913
3,0.7024582967515365,0.7024582967515365,0.7024582967515365,0.7024582967515365,0.7024582967515365
4,0.7085162423178226,0.7085162423178226,0.7085162423178226,0.7085162423178226,0.7085162423178226
5,0.7143985952589991,0.7143985952589991,0.7143985952589991,0.7143985952589991,0.7143985952589991
6,0.6873134328358209,0.6873134328358209,0.6873134328358209,0.6873134328358209,0.6873134328358209
7,0.6996488147497806,0.6996488147497806,0.6996488147497806,0.6996488147497806,0.6996488147497806
8,0.6994732221246707,0.6994732221246707,0.6994732221246707,0.6994732221246707,0.6994732221246707
9,0.7173836698858647,0.7173836698858647,0.7173836698858647,0.7173836698858647,0.7173836698858647
