,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.8529411764705882,0.8608821563822677,0.8093116507017153,0.8366005791935843,0.7860325239474271
1,0.8633217993079585,0.8517487190911117,0.8438404989975495,0.8412786812207619,0.8144352862552907
2,0.8626730103806228,0.8103141011361106,0.8598797059478726,0.872688794831811,0.7655379817331255
3,0.8169333910034602,0.8392737803519715,0.8104254845177101,0.8637781243038538,0.7530630429939853
4,0.8296929065743944,0.8061929160169303,0.8748050790822011,0.8808197816885721,0.784361773223435
5,0.8576989619377162,0.8459567832479394,0.8616618400534642,0.8270216083760303,0.8125417687680997
6,0.8661332179930796,0.8323680106928046,0.8113165515705058,0.7947204277121853,0.7968367119625751
7,0.872188581314879,0.8202272220984629,0.8788148808197819,0.8263533080864335,0.8249053241256405
8,0.8433174740484429,0.8644464245934507,0.8198930719536646,0.7937179772777901,0.7781243038538651
9,0.8326124567474049,0.8029627979505458,0.8095344174649143,0.8172198707952775,0.7838048563154376
