,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.8079584775086506,0.8190020049008688,0.8354867453775897,0.8347070617063934,0.7952773446201826
1,0.7945501730103806,0.8475161505903319,0.821675206059256,0.8115393183337045,0.8206727556248608
2,0.8119593425605536,0.7963911784361775,0.8193361550456671,0.8428380485631545,0.7511695255067943
3,0.8133650519031141,0.8300289596792159,0.7922699933169972,0.8371574961015815,0.7194252617509468
4,0.8277465397923875,0.806861216306527,0.8640008910670528,0.799175762976164,0.802517264424148
5,0.7625432525951558,0.8216752060592559,0.8142125194920918,0.7648696814435286,0.7719982178658944
6,0.839424740484429,0.8179995544664735,0.7953887280017821,0.7968367119625752,0.7761194029850746
7,0.8396410034602076,0.8303631098240143,0.8304744932056138,0.7987302294497661,0.8148808197816886
8,0.8227724913494809,0.8347070617063934,0.7473824905324126,0.7898195589218089,0.7825796391178437
9,0.8105536332179931,0.7616395633771441,0.7791267542882602,0.7804633548674539,0.6695255067943862
