,Reps1,Reps2,Reps3,Reps4,Reps5,Reps6,Reps7,Reps8,Reps9,Reps10
0,0.8923010380622837,0.6920415224913494,0.7162629757785466,0.8745674740484429,0.8866782006920415,0.8274221453287198,0.8622589531680441,0.8347107438016529,0.7961432506887052,0.837465564738292
1,0.8343425605536332,0.7647058823529411,0.8226643598615917,0.7335640138408305,0.8274221453287197,0.7322664359861591,0.8314967860422405,0.8604224058769513,0.8365472910927457,0.8544536271808999
2,0.7249134948096885,0.8209342560553633,0.8101211072664359,0.8576989619377163,0.8529411764705883,0.8685121107266437,0.8461891643709827,0.8879706152433425,0.7304866850321395,0.7603305785123967
3,0.8365051903114187,0.7746539792387542,0.7487024221453287,0.8628892733564013,0.7910899653979238,0.8533737024221453,0.7887970615243343,0.7823691460055098,0.911386593204775,0.852157943067034
4,0.7508650519031141,0.7660034602076125,0.7798442906574394,0.8425605536332179,0.7945501730103806,0.7396193771626297,0.8590449954086318,0.8434343434343434,0.8553719008264462,0.9118457300275482
5,0.833477508650519,0.782006920415225,0.7673010380622838,0.8399653979238754,0.8568339100346021,0.7716262975778547,0.9040404040404042,0.8140495867768595,0.7460973370064279,0.8691460055096418
6,0.8265570934256055,0.8032006920415226,0.796280276816609,0.8403979238754326,0.7573529411764707,0.8715397923875433,0.7750229568411388,0.7869605142332415,0.8847566574839302,0.7373737373737375
7,0.8334775086505191,0.8334775086505191,0.7205882352941176,0.8295847750865053,0.7928200692041523,0.9390138408304498,0.7727272727272727,0.8953168044077134,0.8553719008264462,0.7346189164370982
8,0.8321799307958477,0.8122837370242214,0.8083910034602076,0.8161764705882353,0.8230968858131488,0.8879757785467128,0.8181818181818182,0.8420569329660239,0.7277318640955005,0.8562901744719926
9,0.8615916955017302,0.8248269896193772,0.8715397923875433,0.7841695501730104,0.8092560553633219,0.7461072664359861,0.7961432506887052,0.8457300275482094,0.7226813590449954,0.7915518824609733
