,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mean,std
96,sphericaldisproportion10b,-4.78896926136689,-3.943047167606481,-13.43710397131299,-12.95919934182189,-5.94859955291265,-8.465337871583612,-7.114248107848688,-3.9860562364159877,-8.286808070559688,-9.15569838386082,-3.1508800948809403,-1.9436919745511285,-10.79901631660253,-4.450776613649838,-17.30939778087155,-4.362171771308779,-10.621509431379353,-11.482021214180145,-6.146026775138476,-10.45666745986735,-9.043797580482277,-10.364083636656966,-15.450228824005897,-2.413778120950622,-8.754180090056467,-5.896804861304939,-9.740305704218189,-9.253976065178612,-13.254800092144862,-5.44044818367287,-2.5594555631048426,-10.342118810146339,-6.983078430748078,-5.382912525737276,-9.889592278207559,-7.0438407753788175,-10.987051051032106,-7.009385229498072,-6.589590930368658,-2.8316041230303908,-5.149327773475758,-7.302766896549002,-9.221278961328057,-5.963564946657721,-8.494906250327045,-4.125585808676197,-11.733322598014471,-8.549844454983683,-11.816803521244399,-2.9556048839027853,-7.867025327376054,3.517782443382316
187,gln15b,-6.638069354659428,-6.248902446682132,-13.042221905356104,-7.871632778572142,-4.197153705665254,-9.664650072205347,-2.0927662319174867,-9.249376312038937,-7.221775966271598,-7.399913210572995,-9.09392618104039,-7.56186527150104,-2.2893704892028643,-6.62780342895519,-9.986866477257989,-9.082723964891857,-9.445471666417436,-12.8044280879138,-12.566724158204279,-2.545839117973199,-0.8765805055656258,-3.366972785416622,-7.210436186490376,-16.307335552823286,-6.826130890601499,-7.184521310129283,-11.017909333349685,-5.002270305642286,-8.238649225099962,-2.915930571730961,-2.0642919496479606,-9.640027715674814,-9.386545952461148,-4.620556261572026,-12.695870156298144,-8.912140091526243,-6.407976092135985,-8.41455249127568,-5.372805046134339,-9.750411080000164,-5.50907417389098,-8.373529080289234,1.0418673040461486,-3.114080414060999,-7.3932790546184135,-4.225193121672989,-10.460024380572563,-8.384330017001384,-9.684988293659856,-7.809060133373942,-7.315101713919395,3.4313558964530255
241,homogeneity215c,0.6341405716735427,-8.601417915944369,-7.666368360889334,-8.288602303683069,-10.595102498766314,-7.819947414796144,-4.881529659582972,-9.382755419250367,-8.377871115561875,-11.267195608824114,-10.99501281477578,-5.464027921033525,-8.088536759736332,-0.14144991137431687,-6.52585916897371,-10.778973324128588,-6.7162118064654495,-9.02188536401386,-2.269199525607759,-8.991656554098467,-9.325597773207775,-9.518435266449346,-5.784601699598513,-10.249089401007938,-1.6054946460875668,-6.811775845512164,-5.877343135767628,-6.053607002371641,-7.267108165124593,-5.051454049957573,-2.1752764578847694,-9.872922318296435,-6.683011377690314,-4.534379344049217,-8.174084385957169,-6.58810979046671,-0.30821751378786694,-6.005825524378088,-5.668331604983969,-9.879323802126281,-2.6375713202831452,-10.316501979028972,-5.718677283954614,-9.02554796853589,-8.086657406953002,-7.573180547997468,-12.208725927229308,-8.818364497118312,-8.17310775630719,-6.847948350961415,-7.041594700378154,2.9713804154178765
169,correlation15b,-5.84701093168843,-5.919173963051883,-4.98984960547811,-6.740431771217071,-4.757649290312101,-5.201148733111306,-3.8040281141362278,-10.097795078564586,-6.436077213738821,-5.441217090588729,-11.849418736182969,-4.063936845281291,0.5646997036006451,-4.141881822640397,-7.049197911083497,-6.368804862871285,-10.727094717572452,-8.437347950668649,-4.292363636612829,-4.336512048098973,-5.224770337360462,-10.835035980200779,-6.564126902371777,-7.890808444624378,-7.751986284188203,-5.329251545556679,-0.4755444751216484,-9.68148615292174,-8.918465938604529,-8.983850956620696,-5.6790250459407,-10.923629885829898,0.896935615437494,-9.463133154256134,-13.511741941337618,2.1630345034520264,-10.080203863584691,-7.673657378330035,-7.980037465100023,-12.151918493347372,-8.577857118537315,-7.652068924508687,-6.225541548518731,-7.9435373034752095,-3.8141055784536526,-4.9472401819636325,-7.202322978904557,-8.442563748891743,-10.024997685838414,-9.147612153793723,-6.79945583937185,3.2475712370987377
80,standarddeviation10b,-3.0523220766181183,-8.198287015748475,-2.362012303223965,-13.860912426456967,-6.306910501812079,-6.288005100633513,-5.863293596472833,-7.442716472440371,-0.8423625545462459,-10.435460887770791,-0.9331746927043695,-6.956089447274189,-9.474194266206275,-6.412304166175996,-8.236431563624793,-4.473291611077429,-8.175705875455767,-10.418632581678219,-6.059317969046236,-7.835370487336989,-6.51596697212821,-6.8911787071871915,-7.448755143002697,-3.946962641899929,-4.557328568426789,-3.340755738159466,-10.898243612216488,-2.5848575376304477,-6.761047861403455,-7.210770693566575,-3.317174495968678,-9.699309278187402,-6.604684628223917,-7.617391594912587,-13.107414192798256,-5.480965357736137,-3.8893788643653027,-9.402139455186418,-10.171920835656367,-9.425291590993853,-2.559060322916195,-9.83885820600301,-8.15643085611275,-1.2152487860995238,-7.0884206890909836,-3.0891322561119736,-8.52937072401612,-3.664880199358143,-6.926877679025915,-9.705911431615723,-6.665450490326083,3.0100372170311354
228,sphericaldisproportion15c,-6.088100300508051,-6.052550521130273,-5.804626893555678,-7.170272986356385,-3.768212337338816,-7.037157231994764,-6.374221377492268,-8.179726833801155,-6.860318413967906,-7.7414475173549855,-6.330866945752104,-5.074346115223071,-7.008301772278381,-5.442420546182241,-6.004267258267133,-6.224228341724983,-6.100963721503309,-6.504577076343158,-8.735697721762216,-5.321274387779498,-3.9891229172851475,-2.4453066491197797,-8.033628481093507,-8.741949401675189,-5.3658810482008885,-8.740003766975319,-3.3792154849560845,-6.1115660170425965,-4.557576491014771,-7.669971458321513,-6.400706587728008,-7.3753828531013585,-2.4257271093669535,-5.451994537640331,-7.558638175768294,-5.067161351144632,-8.940568191486465,-5.747441477198801,-5.720332031648647,-5.69378389080271,-6.25039992427496,-4.82516807660255,-5.255503772180804,-9.70568822002023,-4.417162686569201,-5.520370518369421,-1.5826566513046334,-8.409519662678127,-7.318682907280213,-12.102112465248455,-6.25253602212832,1.9056004861663394
189,rp15b,-6.374985599213857,-7.704046371875465,-8.023893241409468,-5.844719952467054,-4.39523528813273,-7.1697637871788915,-4.257144015172457,-5.8269919791792955,-5.465510245958004,-9.106945291523859,-5.998792706538534,-5.512653417766953,-0.5377215840631411,-4.764826557326409,-6.4574758237732155,-4.403171005546922,-5.517088825916467,-2.7052944019807357,-5.6846784959570575,-7.512242926465009,-2.3514959363197523,-11.908680675132151,-4.322352176554296,-8.512454959861767,-4.356992159267712,-5.897708589617944,-6.729317848200619,-4.77695406336963,-5.518545059897836,-5.040254051612985,-1.7707582059825493,-9.737217472954642,-6.24359326000134,-7.019734572587507,-7.01427011744789,-9.446801406288218,-7.350044566322509,-8.262813926895623,-4.634775488251217,-4.979957020470727,-3.0115118352347685,-7.2993824478298,-6.4257524304998315,-5.446059593231613,-4.772697017006341,-2.235446614450522,-7.135291036629066,-7.988481236388458,-3.115617521574549,-9.164056869451748,-5.914643993535584,2.1949658413556783
76,medianintensity10b,-1.9455896446373007,0.21203474329913546,-5.054333691995402,-14.222431874023236,-7.184848515825989,-3.535027058164883,-4.0355439759407705,-5.196849450662069,-7.028875533541663,-8.589811255830345,-7.223881150283793,-2.3623249641167,-7.8184344405055874,-3.448800259571709,-5.588348624960362,-1.8950002878088583,-6.726962780244954,-8.066470593413003,-6.651870348620689,-7.442411732220372,-5.392765666907043,-7.392544356243276,-9.978898361328717,-7.9450806344017675,-1.0164636408937227,-6.553592390142734,-11.015680139947383,-4.180199175149484,-7.765369470327704,-1.7717435342273715,-4.164009474320658,-9.74959295325961,-2.638739337824909,-3.3983701133392143,-10.926185188240348,-6.084774189006025,-5.6990070266207,-10.727997899450354,-5.124211844142833,-4.365440341377823,-3.604485947036023,-6.702776879569721,-7.598158737335525,-4.273020849313507,-4.2070255123965685,-4.747350290473119,-5.6414123999063746,-6.703636111969752,-6.709335916448762,-3.1511363854290995,-5.860695724121975,2.8254530082572566
11,medianintensity0i,-3.760928846818344,-4.3540963814049505,-6.3422283284496705,-8.712963156903328,-6.229250711474962,-4.705071820036635,-7.803725927086124,-8.365120066974598,-5.4756923137732185,-5.698882192483021,-5.016276662180472,-7.418698390699063,-5.1688720364699785,-4.665559213118411,-7.2078701033640815,-2.72839236840476,-6.767647514721341,-9.069694425627349,-3.3465469756653485,-5.980828992765177,-7.374616901486819,-5.208726732857706,-7.905230534760893,-4.5036437634595385,-4.516950450555718,-6.557929331356877,-7.827295485796871,-8.77821655554683,-1.2468141239243893,-4.601613224980585,-3.8593555776320274,-7.0441001805861205,-6.613147949509773,-5.052422796873174,-6.43850268796878,-7.33272733355839,-3.6794601227137855,-10.097096447774575,-6.885454029559368,-2.233243456565371,-2.090472911886905,-7.969261360443219,-7.649832495399608,-5.915045736164662,-2.6003631729951144,-7.172546626051061,-1.4313309406170183,-6.828232776590037,-6.2765823893192785,-3.7434581851480684,-5.765040414210068,2.0599032419685765
124,lglre10b,-4.927061403977845,-4.070355242638766,-3.0718169667706756,-5.882079241048916,-7.359088641071209,-4.781219181284238,-4.24577727320913,-7.7057705501935905,-5.937349843702277,-2.952142570382888,-3.77675832943544,-8.31768321805111,-4.921555221918143,-4.908787475281475,-5.353290988020696,-4.956889165382252,2.0228317637408386,-9.52071343834562,-2.953081238296985,-9.776127001525303,-6.827461159376441,-10.314497459578709,-4.61089537073826,-6.139277598432856,-2.9868693987811965,-7.17045028072867,-3.936203319520193,-1.7084106696814223,0.25743112382409555,-8.828594499806785,-6.032675673765202,-3.435399279102052,-9.226755351041579,-6.898272422084394,-6.486456549943692,-11.17600355098425,-7.2680606755186155,-6.595110374023345,-5.822233719450643,-6.7158853421985025,-6.292857029627917,-6.894393385581296,-5.1235406443188465,-7.442497658511095,-5.5034594851518275,-2.965986100801708,-8.838374055664513,-5.890371258890542,-5.271589615320564,-6.298008358096865,-5.716757487793873,2.5031148629134345
