,Reps1,Reps2,Reps3,Reps4,Reps5
0,0.8362598770851625,0.7734855136084284,0.7621964802851414,0.8621073735798619,0.8598797059478726
1,0.810579455662862,0.848990342405619,0.7816885720650479,0.7600801960347516,0.8024058810425483
2,0.8546971027216858,0.8399912203687444,0.7224326130541323,0.761639563377144,0.8325907774560035
3,0.824846356453029,0.8005926251097454,0.826019157941635,0.8030741813321454,0.8161060369792826
4,0.7901668129938543,0.8301141352063214,0.8300289596792159,0.7983960793049677,0.8257963911784362
5,0.8268217734855137,0.7010535557506584,0.9015370906660727,0.8036310982401426,0.7817999554466474
6,0.7712906057945565,0.8500877963125549,0.7988416128313656,0.8449543328135442,0.8128759189128982
7,0.8131035996488147,0.838235294117647,0.8177767877032747,0.8364891958119849,0.832924927600802
8,0.7932396839332748,0.8379060579455663,0.7786812207618623,0.8513031855647137,0.8433949654711517
9,0.752414398595259,0.8383450395083407,0.8723546446870126,0.8603252394742704,0.8332590777456004
